133	Chamber Italian	A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria	117	NC-17	2010
384	Grosse Wonderful	A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia	49	R	2010
8	Airport Pollock	A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India	54	R	1981
98	Bright Encounters	A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat	73	PG-13	1999
1	Academy Dinosaur	A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies	86	PG	1999
2	Ace Goldfinger	A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China	48	G	1980
3	Adaptation Holes	A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory	50	NC-17	1995
4	Affair Prejudice	A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank	117	G	1985
5	African Egg	A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico	130	G	1981
6	Agent Truman	A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China	169	PG	1985
7	Airplane Sierra	A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat	62	PG-13	1981
9	Alabama Devil	A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat	114	PG-13	1999
10	Aladdin Calendar	A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China	63	NC-17	1980
11	Alamo Videotape	A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention	126	G	1985
12	Alaska Phantom	A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia	136	PG	1985
213	Date Speed	A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention	104	R	1980
13	Ali Forever	A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies	150	PG	1990
14	Alice Fantasia	A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia	94	NC-17	1975
15	Alien Center	A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention	46	NC-17	1990
16	Alley Evolution	A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans	180	NC-17	1981
17	Alone Trip	A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House	82	R	1980
18	Alter Victory	A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies	57	PG-13	1995
19	Amadeus Holy	A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon	113	PG	2010
20	Amelie Hellfighters	A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon	79	R	1981
21	American Circus	A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank	129	R	2010
22	Amistad Midsummer	A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California	85	G	1985
23	Anaconda Confessions	A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia	92	R	1985
24	Analyze Hoosiers	A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert	181	R	1985
25	Angels Life	A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin	74	G	1990
26	Annie Identity	A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park	86	G	1980
27	Anonymous Human	A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank	179	NC-17	1985
28	Anthem Luke	A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park	91	PG-13	1981
29	Antitrust Tomatoes	A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India	168	NC-17	1981
30	Anything Savannah	A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House	82	R	1985
31	Apache Divine	A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat	92	NC-17	1981
32	Apocalypse Flamingos	A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park	119	R	1980
33	Apollo Teen	A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft	153	PG-13	1999
34	Arabia Dogma	A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria	62	NC-17	1975
35	Arachnophobia Rollercoaster	A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station	147	PG-13	1990
36	Argonauts Town	A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft	127	PG-13	1999
37	Arizona Bang	A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery	121	PG	1980
38	Ark Ridgemont	A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert	68	NC-17	1990
39	Armageddon Lost	A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft	99	G	1981
40	Army Flintstones	A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria	148	R	1981
41	Arsenic Independence	A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin	137	PG	1990
42	Artist Coldblooded	A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California	170	NC-17	1990
265	Dying Maker	A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California	168	PG	1985
43	Atlantis Cause	A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank	170	G	1990
44	Attacks Hate	A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft	113	PG-13	1990
45	Attraction Newton	A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan	83	PG-13	1981
46	Autumn Crow	A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert	108	G	1985
47	Baby Hall	A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft	153	NC-17	1999
48	Backlash Undefeated	A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery	118	PG-13	1980
49	Badman Dawn	A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat	162	R	1985
50	Baked Cleopatra	A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery	182	G	1995
51	Balloon Homeward	A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station	75	NC-17	1990
52	Ballroom Mockingbird	A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California	173	G	1980
53	Bang Kwai	A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park	87	NC-17	1980
54	Banger Pinocchio	A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station	113	R	2010
55	Barbarella Streetcar	A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery	65	G	1981
56	Barefoot Manchurian	A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park	129	G	1975
57	Basic Easy	A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat	90	PG-13	1981
58	Beach Heartbreakers	A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia	122	G	1980
