1	James	Agee
2	Barbara	Pym
3	Thomas	Hardy
4	Søren	Kierkegaard
5	Fred	Costner
6	Vivien	Bergen
7	Alan	Hollinghurst
8	Zero	Cage
9	John	Briley
10	Colin	Wilson
11	Mark	Haddon
12	Chinua	Achebe
13	Philip	Pullman
14	Howard	Spring
15	Nevil	Shute
16	Peter	Robinson
17	William Butler	Yeats
18	Lawrence	Block
19	Stephen	Fry
20	Henry	James
21	Conor	McPherson
22	Ernest	Hemingway
23	Robert A.	Heinlein
24	Margaret	Drabble
25	Graham	Greene
26	Katherine	Paterson
27	Richard	Dawkins
28	Kirsten	Paltrow
29	Kurt	Vonnegut
30	Robert B.	Parker
31	Bruce	Catton
32	Edmund	Crispin
33	Dorothy L.	Sayers
34	Rip	Crawford
35	Reginald	Hill
36	John	Steinbeck
37	Grace	Mostel
38	Bette	Nicholson
39	Elvis	Marx
40	Ed	Chase
41	Françoise	Sagan
42	E. M.	Forster
43	Sandra	Kilmer
44	Karl	Berry
45	Michael	Cunningham
46	Cormac	McCarthy
47	Brian	Keenan
48	Madeleine	L'Engle
49	Stephen	Gray
50	Robert	Crais
51	Charles	Dickens
52	Mary	Webb
53	Michael	Morpurgo
54	O.	Henry
55	Philip K.	Dick
56	Julia	Mcqueen
57	Dan	Torn
58	Philip José	Farmer
59	Agatha	Christie
60	Woody	Hoffman
61	Elizabeth	Smart
62	Margaret	Mitchell
63	Helen	Voight
64	Penelope	Guiness
65	Carson	McCullers
66	George Bernard	Shaw
67	Rex	Stout
68	Samuel	Butler
69	Wilfred	Owen
70	Jessica	Anderson
71	José	Rizal
72	Susan	Swan
73	Haruki	Murakami
74	Connie	Willis
75	George R. R.	Martin
76	Dan	Rhodes
77	W. Somerset	Maugham
78	Aldous	Huxley
79	Isaac	Asimov
80	James	Ellroy
81	William Makepeace	Thackeray
82	Paul	Kennedy
83	Edith	Wharton
84	Nick	Wahlberg
85	Robert Penn	Warren
86	Bob	Fawcett
87	Lois	Lowry
88	Robert	Silverberg
89	Flannery	O'Connor
90	John	Grisham
91	H. E.	Bates
92	T. S.	Eliot
93	George	Orwell
94	Maya	Angelou
95	John	Crowley
96	Willa	Cather
97	Noël	Coward
98	P. D.	James
99	Matthew	Johansson
100	William	Manchester
101	Mary Elizabeth	Braddon
102	Dan	Simmons
103	Vita	Sackville-West
104	Johnny	Lollobrigida
105	Jonathan Safran	Foer
106	Mary	Stewart
107	JT	LeRoy
108	Louis	Bromfield
109	Philip	Reeve
110	Kamala	Markandaya
111	Iain M.	Banks
112	Primo	Levi
113	Uma	Wood
114	Ursula K. Le	Guin
115	Lucille	Tracy
116	Luthor	Author
117	Rosemary	Sutcliff
118	Lillian	Hellman
119	Cuba	Olivier
120	William Edmund	Barrett
121	Adam	Smith
122	Evelyn	Waugh
123	Thomas	Wolfe
124	F. Scott	Fitzgerald
125	Anthony	Powell
126	David	Graham
127	Alastair	Reynolds
128	Cameron	Streep
129	Laurie R.	King
130	Kevin	Bloom
131	Han	Suyin
132	Roger	Zelazny
133	Dee	Brown
134	C. S.	Lewis
135	M. Scott	Peck
136	Patrick Leigh	Fermor
137	Joe	Swank
138	Humphrey	Cobb
139	Gavin	Maxwell
140	Christian	Gable
141	Jennifer	Davis
142	James H.	Hunter
143	Sidney	Howard
144	Edna	O'Brien
145	Richard	Hillary
146	Sheridan Le	Fanu
147	John	Gunther
148	NJ	Crisp
149	Ray	Bradbury
