Those Barren Leaves	123	4	BRielly
Ah, Wilderness!	52	10	Penguin
Fargo Gandhi	53	2	Harper
It's a Battlefield	19	10	Addisin–Wosley
That Good Night	41	2	Harper
Titans Jerk	58	7	Random
To Sail Beyond the Sunset	119	4	BRielly
Now Sleeps the Crimson Petal	103	2	BRielly
Arms and the Man	15	1	Addisin–Wosley
Grail Frankenstein	34	3	Harper
Torque Bound	76	10	BRielly
The Golden Bowl	103	1	Alfred Knipf
Kissing Dolls	69	3	Penguin
A Glass of Blessings	9	3	Penguin
The Painted Veil	27	10	BRielly
Jingle Sagebrush	112	1	Harper
Butter In a Lordly Dish	112	6	Alfred Knipf
Behold the Man	84	7	Penguin
An Evil Cradling	140	7	Alfred Knipf
Noli Me Tangere	15	1	Century
Theory Mermaid	15	10	Random
Lilies of the Field	88	1	Penguin
Goodfellas Salute	32	1	Addisin–Wosley
Valentine Vanishing	27	3	Addisin–Wosley
Waterfront Deliverance	107	2	Penguin
Tracy Cider	47	4	Century
Fair Stood the Wind for France	22	10	BRielly
If Not Now, When?	37	4	BRielly
An Acceptable Time	86	1	Penguin
I Know Why the Caged Bird Sings	62	2	Harper
Crowds Telemark	47	4	BRielly
I Will Fear No Evil	135	1	Harper
Fear and Trembling	118	10	Harper
The Mermaids Singing	43	4	Century
Mother Night	101	3	BRielly
The Green Bay Tree	104	2	Century
By Grand Central Station I Sat Down and Wept	116	6	Harper
A Passage to India	69	4	Random
Blue Remembered Earth	61	1	Harper
A Many-Splendoured Thing	57	4	Harper
That Hideous Strength	10	4	Alfred Knipf
When the Green Woods Laugh	60	4	BRielly
From Here to Eternity	106	6	Century
Identity Lover	90	4	Penguin
Deliverance Mulholland	138	2	Alfred Knipf
Beneath the Bleeding	92	3	Random
Lesson Cleopatra	85	1	Century
Things Fall Apart	75	7	Random
An Instant In The Wind	20	2	Century
Patient Sister	140	2	Harper
The World, the Flesh and the Devil	119	7	BRielly
All Passion Spent	62	1	Penguin
The Waste Land	48	1	Alfred Knipf
This Side of Paradise	129	7	Alfred Knipf
In Death Ground	47	6	Penguin
The Man Within	147	1	Century
Stranger in a Strange Land	38	10	Century
The Skull Beneath the Skin	56	2	Addisin–Wosley
The Violent Bear It Away	115	1	BRielly
Death Be Not Proud	15	10	Penguin
A che punto Ã¨ la notte	37	6	Century
The Cricket on the Hearth	18	6	Penguin
Casablanca Super	77	1	Alfred Knipf
Alice Fantasia	58	1	Random
A Fanatic Heart	126	6	BRielly
Idols Snatchers	108	6	Alfred Knipf
The Doors of Perception	9	6	Addisin–Wosley
Many Waters	54	10	Alfred Knipf
The Curious Incident of the Dog in the Night-Time	121	1	Harper
Little Hands Clapping	106	2	Addisin–Wosley
Vanity Fair	39	7	Alfred Knipf
Blue Remembered Hills	46	4	Random
I Sing the Body Electric	68	10	Addisin–Wosley
Hours Rage	45	4	Century
In Dubious Battle	116	3	Century
Bury My Heart at Wounded Knee	91	4	Harper
Oh! To be in England	56	1	Alfred Knipf
Consider Phlebas	100	4	Penguin
Jacob Have I Loved	33	1	Harper
Pride Alamo	59	6	Harper
Postern of Fate	115	4	BRielly
Cover Her Face	15	2	Alfred Knipf
Unweaving the Rainbow	34	1	BRielly
Specimen Days	105	1	Addisin–Wosley
Number the Stars	43	2	Addisin–Wosley
The Torment of Others	29	7	Harper
Records Zorro	17	3	Random
Gandhi Kwai	10	2	Penguin
Moab Is My Washpot	130	1	Penguin
Such, Such Were the Joys	140	2	BRielly
Alien Corn (play)	78	3	Random
Everything is Illuminated	57	4	Century
Baked Cleopatra	15	4	Random
The Golden Apples of the Sun	71	1	Alfred Knipf
The Line of Beauty	114	4	Addisin–Wosley
Alone on a Wide, Wide Sea	82	6	Addisin–Wosley
This Lime Tree Bower	68	10	Century
Nectar in a Sieve	82	1	BRielly
The Far-Distant Oxus	113	1	Alfred Knipf
The Stars' Tennis Balls	132	10	Penguin
Quo Vadis	18	3	Alfred Knipf
Disciple Mother	66	6	Random
A Summer Bird-Cage	126	1	Penguin
Antic Hay	9	7	Penguin
Peach Innocent	95	4	Alfred Knipf
The Heart Is a Lonely Hunter	68	4	Addisin–Wosley
Surprised by Joy	106	10	Random
The Mirror Crack'd from Side to Side	52	6	Addisin–Wosley
Far From the Madding Crowd	77	6	Addisin–Wosley
A Darkling Plain	126	2	Random
The Heart Is Deceitful Above All Things	62	6	Addisin–Wosley
Eve Resurrection	18	6	BRielly
To Your Scattered Bodies Go	58	3	Random
The Wings of the Dove	127	6	Century
The Wealth of Nations	90	3	BRielly
Terminator Club	29	7	Addisin–Wosley
Cranes Reservoir	76	10	Penguin
Taming a Sea Horse	47	4	Random
Thrones, Dominations	136	6	Century
How Sleep the Brave	94	2	Harper
How Sleep the Brave	136	10	Harper
How Sleep the Brave	141	10	Century
Forever Candidate	125	10	Alfred Knipf
Cyclone Family	70	7	Harper
The Other Side of Silence	1	4	Alfred Knipf
Tender Is the Night	77	7	Harper
Bonjour Tristesse	57	7	Harper
Thief Pelican	111	10	Random
No Longer at Ease	60	1	Penguin
Down to a Sunless Sea	95	4	Penguin
Resurrection Silverado	27	6	Penguin
O Jerusalem!	108	6	BRielly
Dying of the Light	146	10	Harper
Absalom, Absalom!	129	1	Addisin–Wosley
Apocalypse Flamingos	108	7	BRielly
Madison Trap	23	6	Addisin–Wosley
Scissorhands Slums	130	1	Century
To Say Nothing of the Dog	37	6	BRielly
Blithe Spirit	148	1	BRielly
The Parliament of Man	94	3	Alfred Knipf
The Little Foxes	86	1	Penguin
A Scanner Darkly	29	1	Penguin
Hook Chariots	127	1	Century
Polish Brooklyn	136	1	BRielly
A Swiftly Tilting Planet	140	4	Random
Lebowski Soldiers	13	2	BRielly
The Needle's Eye	72	3	Harper
Blood's a Rover	12	4	Harper
Tiger! Tiger!	50	10	Penguin
Elephant Trojan	139	6	Alfred Knipf
Dance Dance Dance	24	4	Random
Dulce et Decorum Est	52	1	BRielly
All the King's Men	58	2	Harper
The Soldier's Art	129	2	Century
Paths of Glory	19	4	Century
Beyond the Mexique Bay	19	1	Century
His Dark Materials	30	10	Alfred Knipf
What's Become of Waring	148	7	Century
Fame Is the Spur	61	1	Harper
The Way Through the Woods	118	1	Addisin–Wosley
After Many a Summer Dies the Swan	56	6	Random
Egypt Tenenbaums	115	6	Harper
Sugar Wonka	43	4	Addisin–Wosley
Shall not Perish	142	10	Random
Where Angels Fear to Tread	92	4	BRielly
Terrible Swift Sword	146	3	Century
Casper Dragonfly	56	3	Century
Consider the Lilies	50	7	Harper
Time of our Darkness	17	10	Harper
Money Harold	19	2	BRielly
O Pioneers!	59	3	Alfred Knipf
For Whom the Bell Tolls	77	3	Alfred Knipf
Bull Shawshank	123	1	Random
Ring of Bright Water	97	1	Harper
For a Breath I Tarry	108	7	Century
Wildfire at Midnight	113	1	Penguin
A Time of Gifts	2	1	Random
Tomatoes Hellfighters	75	1	BRielly
Storm Happiness	41	6	BRielly
A Confederacy of Dunces	25	3	Random
In a Glass Darkly	46	2	Penguin
Carrion Comfort	136	1	Century
The Grapes of Wrath	48	1	BRielly
Time To Murder And Create	31	3	Penguin
Expecations Natural	30	2	Alfred Knipf
Tirra Lirra by the River	62	1	Random
The Daffodil Sky	17	4	Addisin–Wosley
Conquerer Nuts	116	1	Penguin
To a God Unknown	31	7	Random
Worker Tarzan	60	4	BRielly
The Last Enemy	1	10	Harper
East of Eden	59	1	BRielly
Jesting Pilate	146	1	Century
The Alien Corn (short story)	15	7	BRielly
Greedy Roots	132	4	Addisin–Wosley
A Farewell to Arms	17	10	Alfred Knipf
If I Forget Thee Jerusalem	142	3	Penguin
A Handful of Dust	87	6	Alfred Knipf
Frequent Hearses	105	4	Century
The Proper Study	75	3	Penguin
Core Suit	51	1	Century
The House of Mirth	101	4	BRielly
Trouble Date	66	6	Addisin–Wosley
Of Mice and Men	120	3	BRielly
The Glory and the Dream	68	4	Random
The Millstone	145	10	Addisin–Wosley
Endless Night	82	4	Random
Great Work of Time	21	3	Alfred Knipf
Let Us Now Praise Famous Men	40	2	Century
Eyeless in Gaza	139	10	BRielly
A Catskill Eagle	145	4	Random
Braveheart Human	85	6	Harper
Drums Dynamite	130	2	Century
Have His Carcase	79	3	Alfred Knipf
Intentions Empire	133	1	Harper
Of Human Bondage	39	7	Penguin
The Lathe of Heaven	19	6	BRielly
The Wives of Bath	60	10	Century
Nine Coaches Waiting	73	1	Addisin–Wosley
Look to Windward	79	2	Random
The Sun Also Rises	79	1	Harper
Some Buried Caesar	129	2	Addisin–Wosley
Cabbages and Kings	13	2	Harper
Paths Control	40	1	Addisin–Wosley
Vile Bodies	38	3	Random
Island Exorcist	44	6	Alfred Knipf
Waiting for the Barbarians	112	3	Harper
Joon Northwest	113	6	Century
In a Dry Season	69	1	BRielly
Recalled to Life	47	3	Penguin
Recalled to Life	121	2	Century
The Moving Finger	50	3	Alfred Knipf
The Road Less Traveled	35	1	Century
Brandy of the Damned	7	1	BRielly
The Way of All Flesh	70	7	BRielly
No Country for Old Men	57	1	BRielly
The Last Temptation	14	7	BRielly
Potluck Mixed	90	7	Century
Clouds of Witness	12	6	Alfred Knipf
As I Lay Dying	149	7	Century
The Moving Toyshop	51	2	Harper
Precious Bane	62	2	Addisin–Wosley
No Highway	77	10	BRielly
The Monkey's Raincoat	125	2	Penguin
Exorcist Sting	11	3	Penguin
Pale Kings and Princes	31	1	Addisin–Wosley
The Moon by Night	138	7	Addisin–Wosley
Look Homeward, Angel	1	3	Penguin
Ego Dominus Tuus	27	2	Century
The Yellow Meads of Asphodel	24	2	Harper
A Time to Kill	133	7	Harper
Rear Trading	84	3	Addisin–Wosley
Gone with the Wind	35	6	Random
Fantasia Park	77	6	Harper
Mr Standfast	91	4	Harper
The Widening Gyre	103	7	Alfred Knipf
Rush Goodfellas	39	7	Penguin
A Monstrous Regiment of Women	44	7	Addisin–Wosley
\.
